modelo;marca;tipo;ano;km;potência do motor;combustível;câmbio;direção;cor;portas;placa;valor
COROLLA;TOYOTA;Sedã;2014;191744;1.8;Flex;Automático;Hidráulica;Laranja;4;IMD0183;25779.83
2008;PEUGEOT;SUV;2023;22150;1.6;Flex;Automático;Elétrica;Laranja;4;PJX3760;110213.05
CITY;HONDA;Sedã;2014;196203;1.5;Flex;Automático;Elétrica;Vermelho;4;IPD3963;26059.36
TIGUAN;VOLKSWAGEN;SUV;2017;129245;2.0;Flex;Automático;Elétrica;Bege;4;AIY3719;85422.40
HILUX;TOYOTA;Pick-up;2014;124542;2.7;Diesel;Manual;Elétrica;Prata;4;VUV1446;67477.21
VERSA;NISSAN;Sedã;2073;33546;1.6;Flex;Manual;Hidráulica;Vermelho;4;JYZ4235;64674.10
KWID;RENAULT;Hatch;2022;34850;1.0;Flex;Manual;Elétrica;Azul;4;SND0145;42199.27
FOX CONNECT;VOLKSWAGEN;Pick-up;2016;135184;1.0;Diesel;Manual;Elétrica;Branco;4;JKC2307;23417.98
PULSE;FIAT;SUV;2015;151227;1.0;Flex;Automático;Elétrica;Laranja;4;XAF1964;29635.14
MASTER;RENAULT;Van;2017;118452;2.3;Diesel;Manual;Hidráulica;Marrom;2;CXP0521;55882.69
RENEGADE SPORT;JEEP;SUV;2016;152858;2.0;Flex;Manual;Elétrica;Preto;4;NZO3469;27777.95
RANGER;FORD;Pick-up;2018;89867;2.2;Diesel;Manual;Elétrica;Marrom;4;BOV1746;82771.75
MOBI;FODR;Hatch;2014;128366;1.0;Flex;Manual;Elétrica;Branco;4;IIK8406;14568.49
POLO COMFORTINE;VOLKSWAGEN;Hatch;2023;18757;1.6;Flex;Manual;Elétrica;Bege;4;XKZ4495;61504.13
CERATO;KIA;Sedã;2014;113482;2.0;Flex;Automático;Elétrica;Preto;4;RHP4630;39581.80
RENEGADE SPORT;JEEP;SUV;2022;35310;2.0;Flex;Manual;Elétrica;Bege;4;URY1670;63254.23
COMPASS;JEEP;SUV;2018;98843;2.0;Flex;Manual;Elétrica;Azul;4;TON3621;83652.68
208;PEUGEOT;Hatch;2021;40223;1.6;Flex;Automático;Elétrica;Laranja;4;SZF1017;58780.34
FIT;HONDA;Hatch;2023;13774;1.5;Flex;Automático;Elétrica;Prata;4;NDF1705;60967.52
X1;BMW;SUV;2015;169238;1.5;Gasolina;Automático;Elétrica;Laranja;4;TVB9646;91061.12
X1;BMW;SUV;2023;15995;1.5;Gasolina;Automático;Elétrica;Preto;4;HEY2952;275686.97
KWID;RENAULT;Hatch;2023;17458;1.0;Flex;Automático;Elétrica;Verde;4;YER7685;49135.53
FUSION;FORD;Sedã;2014;108119;2.0;Flex;Automático;Elétrica;Marrom;4;XOQ3284;43927.99
VIRTUS COMFORTINE;VOLKSWAGEN;Sedã;2015;145096;1.6;Flex;Automático;Elétrica;Cinza;4;DWI9337;29686.20
ARGO;FIAT;Hatch;2018;81674;1.0;Flex;Manual;Elétrica;Laranja;4;CHJ6281;33396.42
Q3;AUDI;SUV;2018;93478;1.4;Gasolina;Automático;Elétrica;Laranja;4;AYN9230;149197.60
L200 TRITON;MITSUBISHI;Pick-up;2017;113550;2.4;Diesel;Automático;Elétrica;Vermelho;4;JKO1505;96824.31
YARIS;TOYOTA;Hatch;2022;35249;1.3;Flex;Manual;Elétrica;Azul;4;YTF5501;65757.51
L200 TRITON;MITSUBISHI;Pick-up;2021;43316;2.4;Diesel;Manual;Elétrica;Marrom;4;KQV5554;154014.34
L200 TRITON;MITSUBISHI;Pick-up;2013;160876;2.4;Diesel;Manual;Elétrica;Marrom;4;PGR9520;59005.62
CLASSE C;MERCEDES;Sedã;2023;9925;2.0;Gasolina;Automático;Hidraulica;Marrom;4;AID6479;345829.44
VIRTUS COMFORTINE;VOLKSWAGEN;Sedã;2015;118064;1.0;Flex;Automático;Elétrica;Azul;4;XIJ7766;30408.62
CRUZE;CHEVROLET;Sedã;2016;110179;1.4;Flex;Automático;Elétrica;Vermelho;4;IJY7216;47700.79
C5 AIRCROSS;CITROEN;SUV;2018;96291;1.6;Flex;Automático;Elétrica;Preto;4;RTF8252;75085.19
MASTER;RENAULT;Van;1801;134579;2.3;Diesel;Manual;Hidráulica;Preto;2;SCU0594;49883.40
L200 TRITON;MITSUBISHI;Pick-up;2020;50266;2.4;Diesel;Automático;Elétrica;Branco;4;GTW0948;152109.53
TERRITORY;FORD;SUV;2019;78745;1.5;Flex;Automático;Elétrica;Branco;4;PYI4658;82657.44
2008;PEUGEOT;SUV;2020;69287;1.6;Flex;Automático;Elétrica;Prata;4;SAI2616;79803.62
XC-60;VOLVO;SUV;2019;64337;2.4;Gasolina;Automático;Elétrica;Prata;4;IGG2793;67923.38
ECOSPORT;FORD;SUV;2017;102798;2.0;Flex;Manual;Elétrica;Laranja;4;KNX7319;2.6
DUSTER;RENAULT;SUV;2016;130781;1.6;Flex;Manual;Elétrica;Marrom;4;SXT8876;32113.46
TIGUAN;VOLKSWAGEN;SUV;2021;60197;2.0;Flex;Automático;Elétrica;Branco;4;FNE8467;150921.43
3008;PEUGEOT;SUV;2020;72901;1.6;Flex;Automático;Elétrica;Laranja;4;ORI0202;119013.71
CERATO;KIA;Sedã;2018;89916;1.6;Flex;Manual;Elétrica;Branco;4;EDQ7938;56271.09
C3;CITROEN;Hatch;2019;95449;1.2;Flex;Automático;Hidráulica;Prata;4;NSF0026;37353.46
GLA;MERCEDES;SUV;2019;70668;1.3;Gasolina;Automático;Elétrica;Prata;4;YSC8478;175508.22
SANDERO;RENAULT;Hatch;2014;108830;1.0;Flex;Automático;Hidráulica;Cinza;4;LOT7192;20541.74
Q3;AUDI;SUV;2018;83501;2.0;Gasolina;Automático;Elétrica;Verde;4;HBY8964;159407.90
CR-V;HONDA;SUV;2023;16080;2.0;Flex;Automático;Elétrica;Prata;4;ENG2814;196973.73
XC-40;VOLVO;SUV;2019;73350;2.0;Gasolina;Automático;Elétrica;Cinza;4;XWC7126;175256.08
T-CROSS;VOLKSWAGEN;SUV;2016;80478;1.0;Flex;Automático;Elétrica;Vermelho;4;YZD9426;44123.44
MASTER;RENAULT;Van;2021;47711;2.3;Diesel;Manual;Hidráulica;Verde;2;GNM0948;100095.26
WRANGLER;JEEP;SUV;2018;89697;3.6;Flex;Automático;Elétrica;Branco;4;YPK1338;247846.33
HR-V;HONDA;SUV;2017;9635315;1.8;Flex;Automático;Elétrica;Azul;4;SMX5600;64127.38
POLO COMFORTINE;VOLKSWAGEN;Hatch;2013;110222;0.0;Flex;Manual;Hidráulica;Prata;4;NJQ6644;20263.81
X1;BMW;SUV;2019;93194;1.5;Gasolina;Automático;Elétrica;Branco;4;UXC0115;184536.25
TUCSON;HYUNDAI;SUV;2019;68620;1.6;Flex;Automático;Elétrica;Marrom;4;HVC9604;100059.72
L200 TRITON;MITSUBISHI;Pick-up;2013;173967;2.4;Diesel;Manual;Elétrica;Bege;4;ZZX9296;57618.30
TUCSON;HYUNDAI;SUV;2013;111210;1.6;Flex;Automático;Elétrica;Azul;4;PTS3012;56785.87
C4 LOUNGE;CITROEN;Passeio;2023;11545;2.0;Flex;Manual;Hidráulica;Verde;4;CGB6659;64166.52
TUCSON;HYUNDAI;SUV;2020;56770;2.0;Flex;Automático;Elétrica;Bege;4;RCQ7701;119627.44
ONIX;CHEVROLET;Hatch;2019;77536;1.4;Flex;Manual;Hidráulica;Branco;4;JHD1454;39001.87
RENEGADE SPORT;JEEP;SUV;2021;51690;1.8;Flex;Automático;Elétrica;Vermelho;4;USO9256;59321.92
TUCSON;HYUNDAI;SUV;2017;119368;2.0;Flex;Automático;Elétrica;Prata;4;KMB2265;73476.47
ARGO;FIAT;Hatch;2015;146415;1.3;Flex;Automático;Elétrica;Marrom;4;LLV6536;21993.34
ECLIPSE CROSS;MITSUBISHI;SUV;2018;115581;1.5;Flex;Automático;Elétrica;Laranja;4;IHU3919;90016.12
X1;BMW;SUV;2013;186913;2.0;Gasolina;Automático;Elétrica;Preto;4;DHG1434;89383.13
Q5;AUDI;SUV;2019;71151;2.0;Gasolina;Automático;Elétrica;Preto;4;EPO6693;255297.12
ARGO;FIAT;Hatch;2013;178827;1.0;Flex;Manual;Elétrica;Laranja;4;MRR1942;18614.61
TIGUAN;VOLKSWAGEN;SUV;2014;137427;1.4;Flex;Automático;Elétrica;Laranja;4;MML6338;58557.59
HR-V;HONDA;SUV;2023;13045;1.5;Flex;Manual;Elétrica;Verde;4;OYG4164;108655.81
KWID;RENAULT;Hatch;2020;54265;1.0;Flex;Manual;Elétrica;Cinza;4;PUN3116;33451.13
FIT;HONDA;Hatch;2022;32828;1.5;Flex;Manual;Elétrica;Azul;4;VSH6011;51845.80
SPIN;CHEVROLET;Passeio;2018;99647;1.8;Flex;Automático;Hidráulica;Marrom;4;EQS6954;46105.11
FIT;HONDA;Hatch;2020;54074;1.5;Flex;Manual;Elétrica;Prata;4;ZNM6484;41397.07
FUSION;FORD;Sedã;2016;115587;2.0;Flex;Automático;Elétrica;Verde;4;UOU4552;52330.58
COMPASS;JEEP;SUV;2021;42042;1.3;Diesel;Manual;Elétrica;Preto;4;WAG8081;118123.50
SANDERO;RENAULT;Hatch;2022;22752;1.6;Flex;Manual;Hidráulica;Cinza;4;ONP1925;53073.64
3008;PEUGEOT;SUV;2023;9252;1.6;Flex;Automático;Elétrica;Vermelho;4;GSV7645;173040.82
SPORTAGE;KIA;SUV;2019;73836;2.0;Flex;Manual;Elétrica;Verde;4;LMP8809;83637.25
RENEGADE SPORT;JEEP;SUV;2014;144279;2.0;Flex;Automático;Elétrica;Laranja;4;VIP5436;24281.94
AMAROK;VOLKSWAGEN;Pick-up;2023;12490;3.0;Diesel;Manual;Elétrica;Laranja;4;ZLZ9838;231177.68
FOX CONNECT;VOLKSWAGEN;Hatch;2023;12341;1.6;Flex;Manual;Elétrica;Prata;4;QST4002;56931.75
DUSTER;RENAULT;SUV;2021;47922;2.0;Flex;Manual;Elétrica;Preto;4;MFC8132;64546.13
MOBI;FIAT;Hatch;2023;14243;1.0;Flex;Manual;Elétrica;Laranja;4;QDK6801;44866.09
C4 LOUNGE;CITROEN;Passeio;2018;67345;2.0;Flex;Manual;-;Vermelho;4;OPP7686;37595.62
CLASSE A;MERCEDES;Hatch;2022;37538;1.3;Gasolina;Automático;Elétrica;Cinza;4;CMP5999;218870.82
A3;AUDI;Sedã;2019;94221;2.0;Gasolina;Automático;Elétrica;Branco;4;AFX9327;144388.66
CERATO;KIA;Sedã;2019;59847;1.6;Flex;Automático;Elétrica;Vermelho;4;XZE3576;70822.24
RAV4;TOYOTA;SUV;2019;61928;2.0;Flex;Automático;Elétrica;Bege;4;PBR6101;146057.63
208;PEUGEOT;Hatch;2018;67084;1.6;Flex;Automático;Hidráulica;Vermelho;4;ILN2964;40329.49
VIRTUS COMFORTINE;VOLKSWAGEN;Sedã;2020;74497;1.0;Flex;Manual;Elétrica;Preto;4;FNB8243;54027.73
TERRITORY;FORD;SUV;2021;45167;1.5;Flex;Automático;Elétrica;Bege;4;VOD6025;104330.23
XC-60;VOLVO;SUV;2014;193093;2.4;Flex;Automático;Elétrica;Preto;4;AFO3645;29356.51
KWID;RENAULT;Hatch;2021;45323;NA;Flex;Manual;Elétrica;Branco;4;JVW9068;37899.56
ARGO;FIAT;Hatch;2016;98240;1.8;Flex;Automático;Elétrica;Branco;4;CXX5739;27665.95
AMAROK;VOLKSWAGEN;Pick-up;2021;35302;2.0;Diesel;Manual;Elétrica;Bege;4;HWY3834;166731.75
KWID;RENAULT;Hatch;2015;158860;1.0;Flex;Manual;Hidráulca;Laranja;4;KNZ2321;14468.46
SW4;TOYOTA;SUV;2022;28960;2.7;Flex;Automático;Elétrica;Preto;4;KBH8198;257570.50
X1;BMW;SUV;2016;77570;1.5;Gasolina;Automático;Elétrica;Preto;4;VZD8366;132453.41
CRETA;HYUNDAI;SUV;2014;115492;1.0;Flex;Manual;Elétrica;Prata;4;DYB9474;34695.41
CERATO;KIA;Sedã;2015;153198;2.0;Flex;Manual;Elétrica;Vermelho;4;AQG2450;33685.57
MOBI;FIAT;Hatch;2019;93216;1.0;Flex;Manual;Elétrica;Azul;4;UIO3205;25838.38
YARIS;TOYOTA;Hatch;2013;153611;1.5;Flex;Manual;Elétrica;Preto;4;GVX0928;25057.36
RENEGADE SPORT;JEEP;SUV;2015;94919;1.8;Flex;Automático;Elétrica;Marrom;4;YOO1984;28443.11
OUTLANDER;MITSUBISHI;SUV;2013;4262385;2.0;Flex;Automático;Elétrica;Branco;4;AXF1798;56725.92
RANGER;FORD;Pick-up;2015;152930;2.2;Diesel;Automático;Elétrica;Azul;4;CHD1979;51472.94
S10;CHEVROLET;Pick-up;2021;41561;2.8;Flex;Manual;Elétrica;Vermelho;4;EAS5875;128152.69
FIT;HONDA;Hatch;2022;21447;1.5;Flex;Automático;Elétrica;Azul;4;JIQ9867;55760.57
ECOSPORT;FORD;SUV;2017;77410;1.5;Flex;Manual;Elétrica;Vermelho;4;BLK1483;37744.89
ECLIPSE CROSS;MITSUBISHI;SUV;2022;24990;1.5;Flex;Automático;Elétrica;Branco;4;IYB1375;165315.79
FOX CONNECT;VOLKSWAGEN;Hatch;2018;100251;1.6;Flex;Manual;Elétrica;Marrom;4;BIZ4595;33206.62
SW4;TOYOTA;SUV;2016;88055;2.7;Flex;Automático;Elétrica;Prata;4;ACV6402;127662.58
TIGUAN;VOLKSWAGEN;SUV;2020;53857;null;Flex;Automático;Elétrica;Laranja;4;QKJ3104;131184.35
TUCSON;HYUNDAI;SUV;2022;39524;1.6;Flex;Automático;Elétrica;Azul;4;ZPO8845;143193.06
L200 TRITON;MITSUBISHI;Pick-up;2022;24362;2.4;Diesel;Automático;Elétrica;Bege;4;ONO9194;187992.52
TRACKER;CHEVROLET;SUV;2016;135372;1.0;Flex;Automático;Elétrica;N/A;4;ZQV2990;41832.80
C5 AIRCROSS;CITROEN;SUV;2021;62439;1.6;Flex;Automático;Elétrica;Marrom;4;UCD5591;106107.85
AMAROK;VOLKSWAGEN;Pick-up;2017;140581;3.0;Diesel;Automático;Elétrica;Laranja;4;MEK6643;109088.39
MASTER;RENAULT;Van;2013;164709;2.3;Diesel;Manual;Hidráulica;Azul;2;HMS0819;36877.92
CIVIC;HONDA;Sedã;2017;95912;2.0;Flex;Manual;Hidráulica;Laranja;4;TTW8513;49013.87
MOBI;FIAT;Hatch;2021;37802;1.0;Flex;Manual;Elétrica;Branco;4;LXS2856;34726.62
FUSION;FORD;Sedã;2016;160953;2.0;Flex;Automático;Elétrica;Laranja;4;JEX7623;45338.66
Q3;AUDI;SUV;2016;142600;1.4;Gasolina;Automático;Elétrica;Bege;4;WZR4118;102477.95
RAV4;TOYOTA;SUV;2023;12703;2.5;Gasolina;Automático;Elétrica;Laranja;4;MRV3156;250205.29
